round,consensus_error
1,90.29257048352572
2,78.14052861108256
3,83.44092506015765
4,106.2424844310683
5,142.8044874790745
6,186.4574816662973
7,150.92019621447756
8,145.92168452099753
9,147.0838650020112
10,146.84352089556953
11,149.25727968235356
12,145.91157713720258
13,145.76810937292353
14,150.39235198650522
15,154.43805681497096
16,155.40329575517237
17,153.59060164317017
18,155.44201395782474
19,160.06151362136723
20,161.68282203521363
21,162.92483351503503
22,165.34327312705713
23,167.8412843371095
24,167.728179130185
25,169.13091717344557
26,171.36635852822815
27,171.64496427586894
28,171.90009762781702
29,171.8656992591674
30,174.8404911834584
31,179.23576664566997
32,179.4680814394625
33,179.97880802388693
34,180.5601398671789
35,184.16669882047105
36,183.26607582307975
37,183.948011465794
38,184.80382414637361
39,187.17409100395943
40,187.60240305063382
41,189.9815543322912
42,192.3506758580606
43,194.92294612513555
44,196.4450883856373
45,199.3519488990205
46,198.39927065482775
47,198.05828270364668
48,197.78432866500407
49,198.62751185929605
50,199.7897242080035
51,202.94834809416622
52,203.93354626902496
53,205.98389257476845
54,206.51712246069243
55,207.869378761315
56,208.06585456222535
57,210.36400679651078
58,209.99682820554008
59,211.19658083693523
60,210.72308233182534
61,210.80302218318465
62,212.64962546664185
63,213.25729435022416
64,213.14012205862673
65,212.9220234103042
66,214.58062171429165
67,215.68571500462278
68,216.29686923540703
69,216.5865814512439
70,217.80169989464756
71,218.7415845569251
72,217.80974788347032
73,218.08564447275444
74,218.16161714006603
75,218.7006711747041
76,218.40314555786077
77,218.77500341924068
78,218.1592628857702
79,218.80525012293128
80,217.80546384732824
81,217.88937548076942
82,217.52398010616358
83,217.65610810082885
84,218.12308639617797
85,218.3520824685969
86,217.24990524252485
87,217.07925493172266
88,217.16571512913708
89,216.0259116252373
90,214.86362568670893
91,212.9920064924639
92,212.26745172786767
93,211.97860714572676
94,209.70317811089888
95,208.05366679225554
96,205.84444112152028
97,204.0045400436245
98,202.6839127009099
99,200.44182979460496
100,198.39317431664006
101,196.56966670338784
102,194.03640108322847
103,191.8420293125631
104,190.09793842558716
105,188.68223942518338
106,185.80825008710318
107,183.6457437349675
108,181.84264742193878
109,179.8054067288708
110,176.90581358399456
111,175.02058495144647
112,173.28803750801012
113,171.37864944757334
114,168.7124490448189
115,165.87659225977583
116,163.52606354890239
117,161.46108522142185
118,158.9754504981172
119,156.73594805334037
120,153.86900033313586
121,151.3225247528011
122,148.54468149331595
123,146.44972232909376
124,143.85364640186032
125,141.4832406737799
126,138.77403589515836
127,136.2944841105242
128,133.98348726460185
129,131.115996698882
130,128.56273685295454
131,126.34004046499699
132,123.83763750530527
133,121.30525418749967
134,118.77978050513305
135,116.12351319939182
136,113.80238180834006
137,111.54505267915282
138,108.89833683710656
139,106.36401871034174
140,104.14545097410918
141,101.92945860644271
142,99.51590281468891
143,96.90047933305702
144,94.69846210392888
145,92.43534802538562
146,90.16233917402775
147,87.84118127778528
148,85.7433465398923
149,83.49401503633825
150,81.52517633580318
151,79.46754924610458
152,77.261637449079
153,75.30922917123105
154,73.33404819231878
155,71.25113602672131
156,69.25598071438995
157,67.40483652472311
158,65.46854211950252
159,63.74551703266497
160,61.90670442914014
161,60.1929209310544
162,58.481070378454056
163,57.004876236815655
164,55.35799322605658
165,53.74977944773473
166,52.23473306360125
167,50.71367386393749
168,49.13862984308954
169,47.78333854351998
170,46.29416978178724
171,44.98087727233527
172,43.60242039988224
173,42.29424098920449
174,41.05674718102903
175,39.88065288658726
176,38.68062477337521
177,37.555884035363285
178,36.483599478264516
179,35.4355501059141
180,34.45376716382297
181,33.43058567956902
182,32.424396092988935
183,31.511180657497846
184,30.67010594368205
185,29.90908701938236
186,29.08136384905994
187,28.281366664212538
188,27.533024823039167
189,26.8782453363212
190,26.15931656348668
191,25.53894602107482
192,24.97467541426816
193,24.358485430032744
194,23.84110416906745
195,23.3023858027973
196,22.82433893945161
197,22.38926186604118
198,21.952257796426988
199,21.56763107222308
200,21.214965313020468
