round,consensus_error
1,165.57495902792647
2,109.34122742295885
3,117.44088366767782
4,149.91518584309202
5,188.28831800846424
6,239.3261372471179
7,178.76114901897776
8,159.69325873296762
9,154.53432808878554
10,150.66318025140671
11,137.75339756528953
12,135.30663026947786
13,128.82102156873768
14,129.68659960750315
15,115.78153811666068
16,116.29388219760186
17,118.7061746295635
18,123.37089721413413
19,111.48909204111146
20,112.42092468217318
21,111.76200763876834
22,129.25112467234337
23,120.85089011150153
24,112.21802306148494
25,104.62238811710488
26,103.80690214948642
27,107.00138055428573
28,105.36013167037254
29,104.25351922518519
30,102.92787105741536
31,110.43551755688998
32,105.93237831895328
33,101.13807714086072
34,103.50165511484143
35,106.92952537656147
36,104.77053819603123
37,101.2688446863839
38,106.23157878992141
39,113.9350338183737
40,107.31684335965866
41,104.74318199583506
42,104.02869513223929
43,105.08984330462029
44,107.25295654372451
45,110.43938758413934
46,107.91518199741391
47,97.3793522327277
48,106.13810141399755
49,103.86660782801953
50,105.76468643228627
51,104.20064021952692
52,100.13588398879021
53,101.59200251712787
54,101.95493124345417
55,97.4012985085155
56,100.37935571027667
57,97.93657767046211
58,99.85213865269311
59,97.18305055534124
60,97.88476244605823
61,101.77289474942097
62,101.11530339535985
63,98.48207502804617
64,99.69558720984081
65,99.73724928636597
66,97.8354078341971
67,97.711163785007
68,98.61385143300407
69,101.4095689617804
70,100.06780674839725
71,106.501259779115
72,101.57292916931874
73,100.46836051916056
74,98.85110346968666
75,95.73455499326978
76,98.2692030276633
77,100.01952191971934
78,97.25718432917553
79,100.0585042442588
80,104.05475585685043
81,104.18186739566018
82,97.2073004318626
83,97.87999833068356
84,95.26866885398867
85,93.29586766458362
86,93.58713558745139
87,94.43026119391358
88,95.57504676115627
89,93.02839082664654
90,96.51367386961675
91,96.38222360967522
92,94.61379001311411
93,91.94887649591861
94,91.8886863134933
95,89.54925879533683
96,91.48288730703212
97,89.85472448335821
98,88.58368811445193
99,85.93138813392021
100,85.93756922486712
101,86.54096783988554
102,85.07247059918461
103,86.35802589686342
104,84.48001873950231
105,82.67886476439344
106,81.41780886255165
107,79.73730766851186
108,79.96221819587988
109,78.79494234826876
110,78.78536882838584
111,77.11352421087666
112,77.67827216764819
113,76.0737819115039
114,75.07593623066482
115,74.22415713312834
116,73.00529081251275
117,72.38213099299635
118,71.32175625350762
119,70.8678516509461
120,70.50037089842864
121,69.34804441217575
122,67.8624293654395
123,67.19074525244837
124,66.08018451795273
125,65.28105378658738
126,64.01970681822745
127,63.99219850607388
128,62.636111896568785
129,61.547063885501956
130,60.753761593804505
131,60.202496033348496
132,58.773606059856384
133,57.91153218563022
134,57.1276348081358
135,55.97460299400291
136,54.57491352382203
137,53.672759809982416
138,52.822022106507326
139,51.97380234588558
140,50.830385483258965
141,49.947279145535504
142,48.802499711943625
143,47.98457254485853
144,47.258518767508455
145,46.26665690112976
146,45.33284981959736
147,44.5288939287742
148,43.0925789741097
149,42.35521312459438
150,41.30764807347277
151,40.58439198763539
152,39.87017579671953
153,38.77272507807147
154,38.10549009249308
155,37.25725472703371
156,36.363549970126876
157,35.49168520587012
158,34.80113557967963
159,33.9352035965656
160,32.958527152063276
161,32.190814825774645
162,31.46286859508886
163,30.729472455085713
164,29.91083515719659
165,29.187414971297965
166,28.464961167483583
167,27.7412268493508
168,26.944763853294607
169,26.28741315802398
170,25.559255663879657
171,24.982838971215457
172,24.32217779553369
173,23.81593167245032
174,23.156314798437702
175,22.555838296776844
176,22.051424420238664
177,21.485375017019965
178,20.994251305839928
179,20.35034808401313
180,19.867790474517054
181,19.369361539371265
182,18.95600300805727
183,18.583271745820852
184,18.1513181668677
185,17.694050786188086
186,17.302093220523474
187,16.95786918064941
188,16.598404682451047
189,16.3015695269272
190,15.952718163261318
191,15.73046560978454
192,15.472859685287858
193,15.248478518210492
194,14.996599590197706
195,14.798185575136053
196,14.71038038166684
197,14.575779195816914
198,14.434276827895362
199,14.298013904829753
200,14.226903655441495
