round,consensus_error
1,146.79715376875632
2,113.04572033040824
3,118.94723579565584
4,150.88998278136475
5,192.535881355064
6,245.92878367702602
7,204.93036738366462
8,198.82300391549575
9,192.55273453448567
10,191.12778518878113
11,189.6540934545898
12,193.10620397610833
13,188.55502460921818
14,184.8252690589576
15,186.06880103750862
16,179.50282190554034
17,181.62164909607273
18,180.98551913332503
19,180.40738018542984
20,182.25092038456046
21,175.4611961484752
22,179.50419926639617
23,182.48647937248037
24,183.67966280409848
25,184.7818404512227
26,185.75024510957724
27,183.52394702868307
28,182.86197856970966
29,180.25619339451063
30,178.04521537990743
31,183.84258932550378
32,179.86559621794024
33,184.98037694923846
34,183.49082407837219
35,182.82840271471773
36,180.91140187791765
37,180.38778088316053
38,182.67217139126726
39,182.70684239332297
40,183.53598777759578
41,184.48154226021975
42,188.2311866661379
43,187.12494390805486
44,194.334402585174
45,192.05280566999352
46,190.98094824352157
47,190.57483273588346
48,190.39750925797034
49,187.63301745824887
50,191.48120963730355
51,192.58622677359372
52,189.9900941166342
53,192.4250401001457
54,190.28258109613049
55,194.7974615837194
56,192.53689080049426
57,194.75167704983357
58,194.0457524106106
59,193.38906491740963
60,195.3425419965673
61,195.17444159644492
62,195.30577048402026
63,194.9956278121479
64,194.19238563349913
65,194.8470412798447
66,195.46952343580628
67,196.17822145902753
68,198.72071122631522
69,195.93443970688077
70,197.87161582576974
71,197.25039133276036
72,197.80117694804434
73,197.33430646029603
74,196.9033558886875
75,197.47715450042077
76,196.7994723732048
77,196.5846301627802
78,196.55295585817782
79,198.42566574231137
80,199.35145327667874
81,201.07562420754425
82,197.68395983000542
83,197.0989752925044
84,197.29799893523128
85,197.95475508682534
86,197.40737505505308
87,195.41048914949556
88,195.34215127830808
89,193.4248471918047
90,193.12016328410982
91,192.0862497124953
92,189.76627339350173
93,188.66930425073087
94,186.6319322562663
95,184.05601890668595
96,183.20664224775956
97,182.77813634729213
98,181.24285372352176
99,179.6192152644453
100,178.21081192858114
101,177.33307292529992
102,175.62021623695296
103,173.04575291701448
104,170.95707348260794
105,169.3494885512376
106,168.44344044357558
107,166.42357165026672
108,165.38715052686396
109,163.84286843948396
110,162.3125658925965
111,160.4139603172467
112,159.32497209885184
113,156.3879638538523
114,154.56965458982316
115,152.73050575586407
116,151.03821437311797
117,148.8409455502671
118,146.8081911776503
119,145.50555226302845
120,142.88949527287178
121,140.59657697551503
122,138.9234156821125
123,137.72101587407943
124,135.6469388550709
125,133.15726890057115
126,130.97061605036387
127,128.57876378696832
128,126.7232144875585
129,124.58252715939409
130,122.20237277642251
131,120.30603038666538
132,117.46812484133456
133,115.28255482569654
134,112.84729393094568
135,110.90535484082541
136,108.66994144146992
137,106.47657005008169
138,104.22014139403377
139,102.10148685259806
140,99.80152977864218
141,98.10634341467876
142,96.11891007369594
143,94.06949497018267
144,91.69090418657727
145,89.66779344163696
146,87.60664274074243
147,85.59676146730637
148,83.40891221469433
149,81.2088590392284
150,79.13545863138656
151,77.45913578029176
152,75.52760578974092
153,73.6633001481842
154,71.6344110924651
155,69.98346870639242
156,68.2797430262238
157,66.52780829375698
158,64.5492619234194
159,63.031592527503655
160,61.27001828795263
161,59.502616761358205
162,57.88301198370024
163,56.24969909499285
164,54.720638599247245
165,53.31095893378866
166,51.815693323220025
167,50.34360495404142
168,48.939710873738484
169,47.53448199013487
170,46.20574585945184
171,44.89881884069472
172,43.67166905338821
173,42.45588799953152
174,41.299269311330335
175,40.086822881245844
176,38.969726511111425
177,37.91856343247536
178,36.89157638654248
179,35.87748101932904
180,34.927498031860296
181,33.92852878405598
182,33.01947471647292
183,32.139176371469375
184,31.29443327143179
185,30.498198457222305
186,29.7594917142963
187,29.071125267517257
188,28.422996756709903
189,27.75746522818326
190,27.121670948048973
191,26.613309084671872
192,26.09323640986298
193,25.597116341463515
194,25.122205668390077
195,24.729577717161252
196,24.320857101290756
197,23.950579041064415
198,23.65455217515752
199,23.416278018195822
200,23.127226364870562
